registration, trailer_type,year,built_for,model_no,chassis_number,wip,mtm_gcm,gvw_atm,tare,brake_valves_type,suspension_type_and_component_part_no,axle,rare_suspension,rare_axle,hub,bearing_inner,bearing_outer,seal,drum,shoe_kit,brake_size,brake_linning,brake_shoe_type,s_cam_bush_kit,s_cam_size_and_part_no,brake_booster_type_and_size,tyre_type_and_size,wheel_type_and_size,landing_legs_type_and_component_part_no,king_pin_type_and_serial_no,rubplate_type_and_component_no,tow_eye_type_and_component_no,draw_bar_type_and_component_no,air_tanks_size_and_type_and_part_no,hoist_type_and_part_no,suspension_cylinders_component_no,ballrace_type_and_part_no,fith_wheel_type_and_part_no,ramps_size_and_component_no,ramps_cylinders,widening_box_component_no,widening_box_cylinder,widening_wings_component_no,widening_wings_cylinder,gooseneck_component_no,gooseneck_cylinder,powerpack, draw_bar_bushes
97QEN,3R4 Semi Low Loader (Mechanical Susp) - NZ,86,NZED,MTE32/86,21RC3A25,,,"30,000kg",6330kg,RE6 Bendix,Compensating Beam,"15"" Ruber Owen Rockwell",,,Ten Stud,"HM218248, HM218210",33213,CR46305,10 Stud,,"12-1/4 x 7-1/2""","21200780N, 21200781N",E3491,,10 spline,Type 24 ,825 x 15 x 14ply,15 x 6.5 Ten Stud,,"2""",,,,MTE Made,,,,,,,,,,,,,"54"" goose neck height 33"" deck height  RT6 ruber bushes with BA6969 &BA6664 ",
 ,3R4 Semi Tiltdeck (Hyd Susp with R5),86,Webb & Sons,MTE33/86,6IH3ATD27,,,"35,000kg","7,600kg",RE6 Bendix,MTE 3R4 Hydraulic deep Beam,"15"" Ingersol  3 spoked",,,3 Spoke,"HM218248, HM218210","H212749, KJH212710",CR46305,,,"12-1/4 x 7-1/2""",4591,,,,Type 24 ,825 x 15 x 14ply,15 x 6.5 Rim,,"2""",,,,MTE Made, ,,,,,,,,,,,,"3 Axle tilt deck with 1800mm axle spacing and 30"" deep chassis with top deck",
41QKW,3A Bitumen Tanker - NZ,86,Fulton Hogan,MTE34/86,25RT24000,,,"20,000kg",,Westinghouse,,"20"" Rockwell Spoked",,,3 Spoke ,"HM218248, HM218240","HM212049, HM212011",CR46304,,,"16-1/2"" x 7""",4515,,,10 spline,Type 24/30,11R22.5,22.5 x 8.25 rim,,"2""",,,,Westinghouse,,,,,,,,,,,,, 24000litre semi bitumen tanker single exaust 1 burner,
23QKW,3A House Trailer - NZ Steering ,86,Maxwell Brothers,MTE35/86,11C3AS36-60/36-76,,,"30,000kg", ,RE6 Bendix, Hydraulic Winged Suspension,"15"" ROR 3 spoked",,,3 Spoke  ,"HM218248, HM218210",33213,CR46305,10 Stud,,"12-1/4 x 7-1/2""","21200780N, 21200781N",E3491,,10 spline,Type 24 ,1000 x 15 x 14ply,15 x 6.5 ,,"2""",,,,MTE Made, ,,,,,,,,,,,,"1st Steering' MTE House  Semi Trailer   with parallelogram neck 6"" Double acting Susp cyl",
16QEO,3A House Trailer - NZ,86,Haines House Removals  ,MTE36/86,12T3A36-60/36-76,,,"40,000kg", ,RE6 Bendix, Hydraulic Winged Suspension,"15"" Tanner 3 spoked",,,3 Spoke MTE,"HM218248, HM218210",212049 -011,CR40133,63637 Shortened,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 24 ,1000 x 15 x 14ply,15 x 6.5 ,,"2""",,,,MTE Made, ,,,,,,,,,,,,2nd   MTE House Trailer to Haines,
Model1RT10000D,"2A 10,000l Bitumen Dog - Aust",86,Bitupave Australia,MTE37/86,20RT10000,,,"17,000kg",5210kg,Westinghouse,,"20"" Rockwell Spoked",,,3 Spoke ,"HM218248, HM218240","HM212049, HM212011",CR46304,,,"16-1/2"" x 7""",4515,,,10 spline,Type 24/30,11R22.5,22.5 x 8.25 rim,,,,40mm,,Westinghouse,,,,HE12/1000,,,,,,,,,Dog bitumen tanker with burner no Pump,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38QKW,3R4 Hydraulic Suspension - NZ,87,Leacock,MTE1/87,2IH3AHR27,,,"25,000kg", ,RE6 Bendix,MTE 3R4 Hydraulic deep Beam,"15"" Ingersol  3 spoked",,,3 Spoke,"HM218248, HM218210","H212749, KJH212710",CR46305,,,"12-1/4 x 7-1/2""",4591,,,,Type 24 ,825 x 15 x 14ply,15 x 6.5 ,,"2""",,,,MTE Made, ,,,,,,,,,,,,"1800 axle spacing 30"" chassis  RT6 rubber bushed  Full Weight Hydraulic Dove Tail ",
 ,3A House Trailer,87,House removals,MTE2/87,14I3A36-60/36-76,,,"22,000kg", ,RE6 Bendix, Hydraulic Winged Suspension,"15"" Ingersol  3 spoked",,,3 Spoke,"HM218248, HM218210","H212749, KJH212710",CR46305,,,"12-1/4 x 7-1/2""",4591,,,,Type 24 ,1000 x 15 x 14ply,15 x 6.5 ,,"2""",,,,MTE Made, ,,,,,,,,,,,, ,
55QKW,3R4 Semi Tilt Deck (Hyd Susp with R5) - NZ,87,Paul Smith,MTE3/87,7IH3ATD27,,,"22,500kg","8,600kg",RE6 Bendix,MTE 3R4 Hydraulic deep Beam,"15"" Ingersol  3 spoked",,,3 Spoke,"HM218248, HM218210","H212749, KJH212710",CR46305,,,"12-1/4 x 7-1/2""",4591,,,,Type 24 ,825 x 15 x 14ply,15 x 6.5 Rim,,"2""",,,,MTE Made, ,,,,,,,,,,,,"3 Axle tilt deck with 1800mm axle spacing and 30"" deep chassis with top deck RRam 1"" longer than STD",
,3FTLL Flat Top Low Loader,87,Hawkes Bay Asphalts,MTE4/87,6I3FTLL,,,"18,000kg","5,410kg",Westinghouse 6358CS,"Transpro, Underslung rear, Over front","15"" Ingersol  3 spoked 6378FB",,,Spoked,"HM218248, HM218210",212049 -212011,CR46305,63637 Webb,,"12-1/4 x 7-1/2""",4591,E-2394,,10 spline,Type 24 ,825 x 15 x 14ply,15 x 6.5 rim,, ,,40mm,2400mm,Westinghouse,,,,HE12/1000,,,,,,,,,"Cut 3"" off bogie  susp mounts walking beam rear",
91QKW,2A Pig Tilt Deck - NZ,87,Hire pool,MTE5/87,11T2A16,,,9000kg,1960kg,RE6 Bendix,"Walking Beam 48""","15"" Tanner spoked 4-1/2 tonne single tyre ",,,6 Spoke MTE,30211,30208,AX4568,12-1/4 x 4,,"12-1/4 x 4""",TA5407,Tanner,,10 spline,Type 12/16,825 x 15 x 14ply,15 x 6.5 rim ,,,,40mm,,MTE Made,,,,,,,,,,,,,  forklift transporter steel deck load between the wheels,
92QKW,2A Pig Tilt Deck - NZ,87,Tirau Eartmovers,MTE6/87,30I2A20,,,"15,000kg",,RE6 Bendix,"Walking Beam 48""","15"" Ingersol  3 spoked",,,3 Spoke,"HM218248, HM218210","H212749, KJH212710",CR46305,63637,,"12-1/4 x 7-1/2""",,,,,Type 24 ,825 x 15 x 14ply,15 x 6.5 Rim,,,,5 tonne transfer hook,,MTE Made, ,,,,,,,,,,,, ,
26QSQ,3R4 Hydraulic Suspension,87,Reagan Transport,MTE7/87,1RH3AFNLP27,,,"25,000kg", ,Westinghouse,MTE 3R4 Hydraulic deep Beam,"20"" Rockwell Spoked",,,3 Spoke ,"HM218248, HM218240","HM212049, HM212011",CR46304,63637,,"16-1/2"" x 7""",4515,,,10 spline,Type 24/30,255/70/22.5,22.5 x 8.25 rim,,,,,,Westinghouse,,,,,,,,,,,,,"1800 axle spacing 30"" chassis  RT6 rubber bushed  Aluminium Full Weight Hydraulic Dove Tail ",
84QSN,,87,Electric,MTE8A/87,1TH20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This trailer needs to be checked as to what this is,
55QSQ,4R8 Parra Widener - NZ,87,Waikato Heavy Haulage,MTE8/87,3W10-14R4R8-90,,,"90,000kg",,RE6 Bendix,MTE  3R8 Hydraulic,"15"" Rockwell",,,3 Spoke 63637,"HM218248, HM218210",212049 -011,CR46305,63637,,"12-1/4 x 7-1/2""",4670, ,,10 spline,Type 20,825 x 15 x 14ply,15 x 6.5 rim,,"3-1/2""",,,,MTE Made,,,,,,,,,,,,, High tensile widener 3100-4260 wide  with fixed  neck ,
25QSQ,3R4 Semi Tiltdeck (Hyd Susp with R5) - NZ,87,J.B Contractors,MTE9/87,8IH3ATD27,,,"22,500kg","7,600kg",RE6 Bendix,MTE 3R4 Hydraulic deep Beam,"15"" Ingersol  3 spoked",,,3 Spoke,"HM218248, HM218210","H212749, KJH212710",CR46305,63637,,"12-1/4 x 7-1/2""",4591,,,,Type 24 ,825 x 15 x 14ply,15 x 6.5 Rim,,"2""",,,,MTE Made, ,,,,,,,,,,,,"3 Axle tilt deck with 1800mm axle spacing and 30"" deep chassis with top deck RRam 1"" longer than STD",
31QSQ,4R8 Transporter - NZ,87,Durham Transport,MTE10/87,11R86039,,,"100,000kg",,RE6 Bendix,MTE R8 Hydraulic,"15"" Rockwell",,,3 Spoke 63637,"HM218248, HM218210",212049 -011,CR46305,63637,,"12-1/4 x 7-1/2""",4591, ,,10 spline,Type 20,825 x 15 x 14ply,15 x 6.5 rim,,"3-1/2""",,,,MTE Made,,,,,,,,,,,,,High tensile fixed width 3100 wide  with fixed  neck ,
,2A Ribbed Semi Tipper ,87,J.Webb,MTE11/87,8RRMS24,,,"20,000kg",,PBR ,Transpro 3 leaf,"20"" Rockwell Spoked",,,3 Spoke ,"HM218248, HM218240","HM212049, HM212011",CR46304,63637,,"16-1/2"" x 7""",4515,,,10 spline,Type 24/30,1000 x 20,20 x 6.5,,"2""",,,,MTE Made,70SU Edbro,,,,,,,,,,,," 24'0"" tipper becase of 2nd to last axle measurements",
53QSQ,3R8 Transporter - NZ,87,R.W.Tregowth,MTE12/87,11R86039,,,"60,000kg",,RE6 Bendix,MTE R8 Hydraulic,"15"" Rockwell",,,3 Spoke webb,"HM218248, HM218210",212049 -011,CR46305,63617,,"12-1/4 x 7-1/2""",4591, ,,10 spline,Type 20,825 x 15 x 14ply,15 x 6.5 rim,,"3-1/2""",,,,MTE Made,,,,,,,,,,,,,Mild Steel 3100 wide  with fixed  neck  Brake drums either side of this trailer Model No could be same as this,
,,87,,MTE13/87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number 13 not issued,
 ,2A Semi Tilt Deck (Beam Susp) - NZ,87,Ashburton County Council,MTE14/87,31IT2A26,,,"20,000kg",,RE6 Bendix,"Walking Beam 48""","15"" Ingersol  3 spoked",,,3 Spoke,"HM218248, HM218210","H212749, KJH212710",CR46305,,,"12-1/4 x 7-1/2""",4591,,,,Type 24 ,825 x 15 x 14ply,15 x 6.5 Rim,,"2""",,,,MTE Made, ,,,,,,,,,,,, ,
 ,2A Semi Tilt Deck (Beam Susp),87,Issac Construction,MTE15/87,32IT2A26,,,"20,000kg",,RE6 Bendix,"Walking Beam 48""","15"" Ingersol  3 spoked",,,3 Spoke,"HM218248, HM218210","H212749, KJH212710",CR46305,,,"12-1/4 x 7-1/2""",4591,,,,Type 24 ,825 x 15 x 14ply,15 x 6.5 Rim,,"2""",,,,MTE Made, ,,,,,,,,,,,, ,
 ,2A Semi Tilt Deck (Beam Susp),87,Mogal Heavy Haul,MTE16/87,33IT2A26,,,"20,000kg",,RE6 Bendix,"Walking Beam 48""","15"" Ingersol  3 spoked",,,3 Spoke,"HM218248, HM218210","H212749, KJH212710",CR46305,,,"12-1/4 x 7-1/2""",4591,,,,Type 24 ,825 x 15 x 14ply,15 x 6.5 Rim,,"2""",,,,MTE Made, ,,,,,,,,,,,,5hp 2-1 reduction Robin EY183BS engine with 8cc pump special trailer with top deck and slight dovetail,
 ,3R4 Semi Tiltdeck (Hyd Susp with R5) - NZ,87,Laing Contractors,MTE17/87,9IH3ATD27,,,"30,000kg","7,600kg",RE6 Bendix,MTE 3R4 Hydraulic deep Beam,"15"" Ingersol  3 spoked",,,3 Spoke,"HM218248, HM218210","H212749, KJH212710",CR46305,63637,,"12-1/4 x 7-1/2""",4591,,,,Type 24 ,825 x 15 x 14ply,15 x 6.5 Rim,,"2""",,,,MTE Made, ,,,,,,,,,,,,"3 Axle tilt deck with 1800mm axle spacing and 30"" deep chassis with top deck RRam 1"" longer than STD",
,3R4 Semi Low Loader (Mechanical Susp) ,87,Bob Richard Transport,MTE18/87,19IC3A25,,,"25,000kg",6330kg,RE6 Bendix,Compensating Beam,"15"" Ingersol  3 spoked widened by 3""",,,3 Spoke,"HM218248, HM218210","H212749, KJH212710",CR46305,63637,,"12-1/4 x 7-1/2""",4591,,,,Type 24 ,825 x 15 x 14ply,15 x 6.5 rim,,"2""",,,,MTE Made, ,,,,,,,,,,,,RT^ Rubber bushes with Hendricson BA6969 & BA6664,
 ,4R8 Parra Widener,87,Richards Heavy Haul,MTE19/87,2W10-14T4R8-80,,,"80,000kg",,RE6 Bendix,MTE  3R8 Hydraulic,"15"" Tanner 3 spoked",,,3 Spoke MTE,"HM218248, HM218210",212049 -011,CR40133,63637 Shortened,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 20,825 x 15 x 14ply,15 x 6.5 rim,,"3-1/2""",,,,MTE Made,,,,,,,,,,,,, High tensile widener 3100-4260 wide  with fixed  neck ,
47RGF,3R4 Hydraulic Suspension - NZ,87,Bruce Cowan (Died in Canada),MTE20/87,3IH3A8.5,,,"30,000kg uprated to 40,000kg", ,RE6 Bendix,MTE 3R4 Hydraulic deep Beam,"15"" Ingersol  3 spoked",,,3 Spoke,"HM218248, HM218210","H212749, KJH212710",CR46305,(DT176) 63637,,"12-1/4 x 7-1/2""",4591,4692 Lined shoes,,,Type 24 ,825 x 15 x 14ply,15 x 6.5 ,,"2""",,,,MTE Made, ,,,,,,,,,,,,"1800 axle spacing 30"" chassis  RT6 rubber bushed trailer 9'0"" wide",
31RGG,3A House Trailer,87,House removals,MTE21/87,15R3A36-60/36-76,,,"22,000kg", ,RE6 Bendix, Hydraulic Winged Suspension,"15"" Rockwell",,,3 Spoke webb,"HM218248, HM218210",212049 -011,CR46305,63617,,"12-1/4 x 7-1/2""",4670, ,,10 spline,Type 24 ,1000 x 15 x 14ply,15 x 6.5 ,,"2""",,,,MTE Made, ,,,,,,,,,,,, ,
,3A House Trailer,87,House removals,MTE22/87,16P2A36-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88RGF,3A House Trailer - NZ,87,Haines House removals,MTE23/87,17R3A36-60/36-76,,,"40,000kg", ,RE6 Bendix, Hydraulic Winged Suspension,"15"" Rockwell",,,3 Spoke webb,"HM218248, HM218210",212049 -011,CR46305,63617,,"12-1/4 x 7-1/2""",4670, ,,10 spline,Type 24 ,1000 x 15 x 14ply,15 x 6.5 ,,"2""",,,,MTE Made, ,,,,,,,,,,,,Haines 3rd MTE House trailer,
,Single Axle Pig Bitumen Tank - NZ,87,Piako County,MTE24/87,1TT2000l,,,4000kg, ,RE6 Bendix,Transpro 3 leaf,"15"" Tanner spoked 4-1/2 tonne single tyre ",,,6 Spoke MTE,30211,30208,AX4568,12-1/4 x 4,,"12-1/4 x 4""",TA5407,Tanner,,10 spline,Type 12/16,825 x 15 x 14ply,15 x 6.5 rim  ,,,,75mm  pintle,,MTE Made,,,,,,,,,,,,,  2000litre tank,
,,87,NZED,MTE25/87,1T2ACBT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3A Semi Sprung Low Loader,87,Linton Motors,MTE26/87,1RT3AF42,,,"30,000kg",,RE6 Bendix,Transpro Under slung tri 2500  3 leaf,"15"" Rockwell",,,3 Spoke 63637,"HM218248, HM218210",212049 -011,CR46305,63637,,"12-1/4 x 7-1/2""",4670, ,,10 spline,Type 20,825 x 15 x 18ply,15 x 6.5 rim  ,,"2""",,,,MTE Made,,,,,,,,,,,,,Fitted with twist locks ,
3RGH,3A House Trailer - NZ,87,G.R.Andrews,MTE27/87,18R3A36-60/36-76,,,22000kg, ,RE6 Bendix, Hydraulic Winged Suspension,"15"" Rockwell",,,3 Spoke webb,"HM218248, HM218210",212049 -011,CR46305,63617,,"12-1/4 x 7-1/2""",4670, ,,10 spline,Type 24 ,1000 x 15 x 14ply,15 x 6.5 ,,"2""",,,,MTE Made, ,,,,,,,,,,,, ,
4RGHH,3FTLL - Flat Top Low Loader - NZ,87,Higgens & Sons,MTE26/87,7R3FTLL,,,"22,000kg","5,410kg",Westinghouse 6358CS,"Transpro, Underslung rear, Over front","15"" Rockwell",,,3 Spoke webb,"HM218248, HM218210",212049 -212011,CR46305,63637 Webb,,"12-1/4 x 7-1/2""",4670, ,,10 spline,Type 24 ,825 x 15 x 14ply,15 x 6.5 rim,, ,,40mm,,Westinghouse,,,,HE12/1000,,,,,,,,, Fitted with ramps,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2A Dog Bitumen Tanker,88,Emolium,MTE3/88,RRBPW12000,,,"16,400kg",,,ROR 8 leaf,"20"" BPW front ROR Rear",,,,,,,,,,,,,,,1000 x 20,20 x 6.5,,,,40mm,,,,,,HE12/1000,,,,,,,,,Emolium Made tank alloy gaurds,
 ,3A House Trailer - NZ Steering,88,Britton House Removals,MTE4/88,19C3AS36-60/36-76,,,"25,000kg", ,RE6 Bendix, Hydraulic Winged Suspension,"15"" ROR 3 spoked",,,3 Spoke  ,"HM218248, HM218210",33213,CR46305,10 Stud,,"12-1/4 x 7-1/2""","21200780N, 21200781N",E3491,,10 spline,Type 24 ,750 x 15 x 16ply,15 x 6.5 ,,"2""",,,,MTE Made, ,,,,,,,,,,,," Steering' MTE House  Semi Trailer   with parallelogram neck 6"" Double acting Susp cyl",
45QOK,5A B Train Skelatil Front - NZ,88,Stokes Transport,MTE5/88,1PH7500F,,,"24,000kg",,,Hutch 3 Leaf,"20"" Proroll Sudisa",,,5 Spoke webb,HM518445 -HM518410,,CR42623,Spoke,,"16 x 7""",4515,,,10 spline,Type 24 ,11R22.5,22.5 x 8.25 rim,,"2""",,,,Westinghouse,,,,,,,,,,,,,B train for shorts,
44QOK,5A B Train Skelatil Rear - NZ,88,Stokes Transport,MTE6/88,1PH7500R,,,"24,000kg",,,Hutch 3 Leaf,"20"" Proroll Sudisa",,,5 Spoke webb,HM518445 -HM518410,,CR42623,Spoke,,"16 x 7""",4515,,,10 spline,Type 24 ,11R22.5,22.5 x 8.25 rim,,"2""",,,,Westinghouse,,,,,,,,,,,,,B train for shorts,
 ,3R4 Semi Tiltdeck (Hyd Susp with R5) - NZ,88,Waihi earthmovers,MTE7/88,10IH3ATD27,,,"30,000kg","7,600kg",RE6 Bendix,Special Hydraulic New Model,"15"" Ingersol  3 spoked widened by 3""",,,3 Spoke,"HM218248, HM218210","H212749, KJH212710",CR46305,63637,,"12-1/4 x 7-1/2""",4591,,,10 spline,Type 12/16,825 x 15 x 14ply,15 x 6.5 rim  ,,,,75mm  pintle,,MTE Made,,,,,,,,,,,,, ,
46QOK,2A Ticket Box - NZ,88, Electric Speedway,MTE8/88,2TH20,,,"5,000kg",,RE6 Bendix,Special Hydraulic New Model,"15"" Tanner spoked 4-1/2 tonne single tyre ",,,6 Spoke MTE,30211,30208,AX4568,12-1/4 x 4,,"12-1/4 x 4""",TA5407,Tanner,,10 spline,Type 12/16,825 x 15 x 14ply,15 x 6.5 rim  ,,,,75mm  pintle,,MTE Made,,,,,,,,,,,,, ,
,2A Pig Tilt Deck,88,Harry Loyd,MTE9/88,34TT2A20,,,"15,000kg",2790kg,RE6 Bendix,"Walking Beam 48""",T&G 6 Stud,,, 6 stud, , , , ,,"12-1/4 x 5""", , ,, , ,750 x 16 x 14ply,16 x   6 stud,,,,5 tonne C Hook coupling,, ,,,,,,,,,,,,,5 tonne C Hook coupling 2 nd hand supension replaced with  Spoked Danna axles and 215 x 17.5 tyres in 2000,
A1814,2A Pig Tilt Deck - NZ,88,Emolium,MTE10/88,35R2A18,,,"15,000kg",,Sealco,"Walking Beam 48""","15"" Rockwell",,,3 Spoke 63637,"HM218248, HM218210",212049 -011,CR46305,63637,,"12-1/4 x 7-1/2""",4670, ,,10 spline,Type 24,825 x 15 x 14ply,15 x 6.5 rim,,,,75mm Pintle,,MTE Made,,,,,,,,,,,,,"with 5'6"" spring assisted ramps and Doughty hand pump",
A1815,2A Pig Tilt Deck - NZ,88,Emolium,MTE11/88,36R2A18,,,"15,000kg",,Sealco,"Walking Beam 48""","15"" Rockwell",,,3 Spoke 63637,"HM218248, HM218210",212049 -011,CR46305,63637,,"12-1/4 x 7-1/2""",4670, ,,10 spline,Type 24,825 x 15 x 14ply,15 x 6.5 rim,,,,75mm Pintle,,MTE Made,,,,,,,,,,,,,"with 5'6"" spring assisted ramps and Doughty hand pump",
A9685,4R4  Hydraulic Transporter - NZ,88,Durham Heavy Haulage,MTE12/88,14RH33,,,"60,000kg",,Sealco,Deep beam hydraulic RT6 rubbers,"15"" Rockwell",,,3 Spoke 63637,"HM218248, HM218210",212049 -011,CR46305,63637,,"12-1/4 x 7-1/2""",4670, ,,10 spline,Type 24,750 x 15 x 16 ply,15 x 6.5 rim,,"3-1/2""",,,,MTE Made,,,,,,,,,,,,,"9'0"" wide with fullweight hyd dove tail",
,,88,,MTE13/88,Number 13 not issued,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number 13 not issued,
A9687,2R8 Dolly ( Fixed Width) - NZ,88,Durham Heavy Haulage,MTE14/88,12RCBD,,,"24,000kg",,Sealco,Beam RT6 bushes,"15"" Rockwell",,,3 Spoke 63637,"HM218248, HM218210",212049 -011,CR46305,63637,,"12-1/4 x 7-1/2""",4670, ,,10 spline,Type 24,750 x 15 x 16 ply,16 x 6.5 rim,,"3-1/2""",,,,,,,,"Fontain 3-1/2""",,,,,,,,,1st 2R4 helper dolly,
A1890,3A House Trailer - NZ,88,House Haulaways,MTE15/88,20R3A36-60/36-76,,,50000kg, ,RE6 Bendix, Hydraulic Winged Suspension,"15"" Rockwell",,,3 Spoke webb,"HM218248, HM218210",212049 -011,CR46305,63617,,"12-1/4 x 7-1/2""",4670, ,,10 spline,Type 24 ,1000 x 15 x 14ply,15 x 6.5 ,,"2""",,,,MTE Made, ,,,,,,,,,,,,Lister Peter motor AD22  L12 pump ,
,4A Dog Tanker 18000l ,88,McLoughlin Holdings,MTE16/88,14Mex18000,,,26000kg,,,Hutch 3 Leaf,"20"" Proroll Sudisa",,,5 Spoke webb,HM518445 -HM518410,,CR42623,Spoke,,"16 x 7""",4515,,,10 spline,Type 24 ,11R22.5,22.5 x 8.25 rim,,,,40mm,,Westinghouse,,,,Rotherde90/1000/24J,,,,,,,,,Pressure tank Kabota motor with Blower compair compresor,
,4A Dog Grain Trailer,88,Farmers Bulk,MTE17/88,14RHGT,,,22000kg,,RE6 Bendix,Hutch 3 Leaf,"15"" Rockwell",,,3 Spoke webb,"HM218248, HM218210",212049 -011,CR46305,63617,,"12-1/4 x 7-1/2""",4670, ,,10 spline,Type 24 ,1000 x 15 x 14ply,15 x 6.5 ,,"2""",,,,MTE Made, ,,,,,,,,,,,,Grain Bin made by McLeod sheet metals,
A1920,5A B train  Front - NZ,88,L.Goodall,MTE18/88,2PH7500F,,,"24,000kg",4460kg,,Hutch 3 Leaf,"20"" Proroll Sudisa",,,5 Spoke webb,HM518445 -HM518410,,CR42623,Spoke,,"16 x 7""",4515,,,10 spline,Type 24 ,11R22.5,22.5 x 8.25 rim,,"2""",,,,Westinghouse,,,,,,,,,,,,,B train  flat top,
A1921,5A B train  Rear - NZ,88,L.Goodall,MTE19/88,2PH7500R,,,"24,000kg",3950kg,,Hutch 3 Leaf,"20"" Proroll Sudisa",,,5 Spoke webb,HM518445 -HM518410,,CR42623,Spoke,,"16 x 7""",4515,,,10 spline,Type 24 ,11R22.5,22.5 x 8.25 rim,,"2""",,,,Westinghouse,,,,,,,,,,,,,B train  flat top,
A9688,2R8 Dolly ( Fixed Width) - NZ,88,A.F.Porter,MTE20/88,4RB24,,,"24,000kg",,RE6 Bendix," RT6  Bush & Axle Beam 48""","15"" Rockwell",,,3 Spoke webb,"HM218248, HM218210",212049 -011,CR46305,63617,,"12-1/4 x 7-1/2""",4670, ,,10 spline,Type 24 ,825 x 15 x 14ply,15 x 6.5 rim,,"3-1/2""",,,,MTE Made,,,,530 Davies,,,,,,,,,,
E653,4A Steering House Trailer - NZ,88,Haines House Removals,MTE21/88,21C4AS39-63/36-76,,,"55,000kg", ,RE6 Bendix, Hydraulic Winged Suspension,"15"" ROR 3 spoked",,,3 Spoke  ,"HM218248, HM218210",33213,CR46305,10 Stud,,"12-1/4 x 7-1/2""","21200780N, 21200781N",E3491,,10 spline,Type 24 ,1000 x 15 x 16ply,15 x 6.5 ,,"2""",,,,MTE Made, ,,,,,,,,,,,," '4th MTE House  Semi Trailer  steering  with parallelogram neck 6"" Double acting  Double stage Susp cyl",
B2223,3A House Trailer - NZ,88,Highway House Movers,MTE22/88,22R3A36-60/36-76,,,40000kg, ,RE6 Bendix, Hydraulic Winged Suspension,"15"" Rockwell",,,3 Spoke webb,"HM218248, HM218210",212049 -011,CR46305,63617,,"12-1/4 x 7-1/2""",4670, ,,10 spline,Type 24 ,1000 x 15 x 14ply,15 x 6.5 ,,"2""",,,,MTE Made, ,,,,,,,,,,,,Lister Peter motor AD22  L12 pump  Mick Daley,
 ,2A Pig Tilt Deck,88,Patea County Council,MTE23/88,37R2A20,,,"15,000kg",,RE6 Bendix,"Walking Beam 48""","15"" Rockwell",,,3 Spoke webb,"HM218248, HM218210",212049 -011,CR46305,63617,,"12-1/4 x 7-1/2""",4670, ,,10 spline,Type 24 ,825 x 15 x 14ply,15 x 6.5 Rim,,,,5 tonne transfer hook,,MTE Made, ,,,,,,,,,,,, ,
,4A Dog Tanker 18000l,88,Bitumen Distributors,MTE24/88,15P1800,,,26000kg,,,Hutch 3 Leaf,"20"" Proroll Sudisa",,,5 Spoke webb,HM518445 -HM518410,HM518445 -HM518410,CR42623,Spoke,,"16 x 7""",4515,,,10 spline,Type 24 ,11R22.5,22.5 x 8.25 rim,,,,40mm,,Westinghouse,,,,Rotherde90/1000/24J,,,,,,,,, ,
,3A Semi Bitumen Tanker 28000 - Aust,88,Grey Bros Australia,MTE3-24KL,143PRR28,,,35000kg,,,Transpro 3 Leaf,"20"" 'Propar  ",,,5 Spoke webb,HM518445 -HM518410,HM518445 -HM518410,CR42623,Spoke,,"16 x 7""",4515,,,10 spline,Type 24 ,11R22.5,22.5 x 8.25 rim,,"2""",,,,Westinghouse,,,,,,,,,,,,,"Ebsaray Pump 3""",
,3A Semi Bitumen Tanker 28000 - Aust,88,Grey Bros Australia,MTE3-24KL,153PRR28,,,35000kg,,,Transpro 3 Leaf,,,,5 Spoke webb,HM518445 -HM518410,HM518445 -HM518410,CR42623,Spoke,,"16 x 7""",4515,,,10 spline,Type 24 ,11R22.5,22.5 x 8.25 rim,,"2""",,,,Westinghouse,,,,,,,,,,,,,"Ebsaray Pump 3""",
5Q703,3R4 Hydraulic Suspension,88,Peter Haddock,MTE25/88,4RH3A8.5,,,"30,000kg", ,RE6 Bendix,MTE 3R4 Hydraulic deep Beam,"15"" Rockwell",,,3 Spoke webb,"HM218248, HM218210",212049 -011,CR46305,63617,,"12-1/4 x 7-1/2""",4670, ,,10 spline,Type 24 ,825 x 15 x 14ply,15 x 6.5 ,,"2""",,,,MTE Made, ,,,,,,,,,,,,"1800 axle spacing 30"" chassis  RT6 rubber bushed",
